movie_ID	genres
2	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
3	{'id': 18_'name': 'Drama'|'id': 35_'name': 'Comedy'}
5	{'id': 80_'name': 'Crime'|'id': 35_'name': 'Comedy'}
6	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
11	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'|'id': 878_'name': 'Science Fiction'}
12	{'id': 16_'name': 'Animation'|'id': 10751_'name': 'Family'}
13	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
14	{'id': 18_'name': 'Drama'}
15	{'id': 9648_'name': 'Mystery'|'id': 18_'name': 'Drama'}
16	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'|'id': 10402_'name': 'Music'}
17	{'id': 27_'name': 'Horror'|'id': 53_'name': 'Thriller'|'id': 9648_'name': 'Mystery'}
18	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
19	{'id': 18_'name': 'Drama'|'id': 878_'name': 'Science Fiction'}
20	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
21	{'id': 99_'name': 'Documentary'}
22	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
24	{'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'}
25	{'id': 18_'name': 'Drama'|'id': 10752_'name': 'War'}
26	{'id': 18_'name': 'Drama'}
27	{'id': 18_'name': 'Drama'|'id': 10402_'name': 'Music'|'id': 10749_'name': 'Romance'}
28	{'id': 18_'name': 'Drama'|'id': 10752_'name': 'War'}
30	{'id': 16_'name': 'Animation'|'id': 878_'name': 'Science Fiction'}
33	{'id': 37_'name': 'Western'}
35	{'id': 16_'name': 'Animation'|'id': 35_'name': 'Comedy'|'id': 10751_'name': 'Family'}
38	{'id': 878_'name': 'Science Fiction'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
55	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
58	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
59	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
62	{'id': 878_'name': 'Science Fiction'|'id': 9648_'name': 'Mystery'|'id': 12_'name': 'Adventure'}
63	{'id': 878_'name': 'Science Fiction'|'id': 53_'name': 'Thriller'|'id': 9648_'name': 'Mystery'}
64	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
65	{'id': 18_'name': 'Drama'}
66	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
67	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
68	{'id': 35_'name': 'Comedy'|'id': 878_'name': 'Science Fiction'}
69	{'id': 18_'name': 'Drama'|'id': 10402_'name': 'Music'|'id': 10749_'name': 'Romance'}
70	{'id': 18_'name': 'Drama'}
71	{'id': 18_'name': 'Drama'|'id': 35_'name': 'Comedy'|'id': 10402_'name': 'Music'}
73	{'id': 18_'name': 'Drama'}
74	{'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
75	{'id': 35_'name': 'Comedy'|'id': 14_'name': 'Fantasy'|'id': 878_'name': 'Science Fiction'}
76	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
77	{'id': 9648_'name': 'Mystery'|'id': 53_'name': 'Thriller'}
78	{'id': 878_'name': 'Science Fiction'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
79	{'id': 18_'name': 'Drama'|'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'|'id': 36_'name': 'History'}
80	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
81	{'id': 12_'name': 'Adventure'|'id': 16_'name': 'Animation'|'id': 14_'name': 'Fantasy'}
82	{'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 80_'name': 'Crime'|'id': 53_'name': 'Thriller'}
83	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
85	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'}
86	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
87	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'}
88	{'id': 18_'name': 'Drama'|'id': 10402_'name': 'Music'|'id': 10749_'name': 'Romance'}
89	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'}
90	{'id': 28_'name': 'Action'|'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
91	{'id': 99_'name': 'Documentary'}
92	{'id': 99_'name': 'Documentary'}
93	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'|'id': 53_'name': 'Thriller'}
95	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'|'id': 12_'name': 'Adventure'}
96	{'id': 28_'name': 'Action'|'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
97	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'}
98	{'id': 28_'name': 'Action'|'id': 18_'name': 'Drama'|'id': 12_'name': 'Adventure'}
99	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
100	{'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
101	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
102	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
103	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'}
104	{'id': 28_'name': 'Action'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
105	{'id': 12_'name': 'Adventure'|'id': 35_'name': 'Comedy'|'id': 878_'name': 'Science Fiction'|'id': 10751_'name': 'Family'}
106	{'id': 878_'name': 'Science Fiction'|'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 53_'name': 'Thriller'}
107	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
108	{'id': 18_'name': 'Drama'|'id': 10402_'name': 'Music'|'id': 9648_'name': 'Mystery'}
109	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'}
110	{'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'|'id': 10749_'name': 'Romance'}
111	{'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
112	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
113	{'id': 18_'name': 'Drama'}
114	{'id': 10749_'name': 'Romance'|'id': 35_'name': 'Comedy'}
115	{'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
116	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 10749_'name': 'Romance'}
117	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 36_'name': 'History'|'id': 53_'name': 'Thriller'}
118	{'id': 12_'name': 'Adventure'|'id': 35_'name': 'Comedy'|'id': 10751_'name': 'Family'|'id': 14_'name': 'Fantasy'}
120	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
121	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
122	{'id': 12_'name': 'Adventure'|'id': 14_'name': 'Fantasy'|'id': 28_'name': 'Action'}
